Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2000-01-01,04:30:10,-68.8,-26.01,105.0,4.5,mb,us
2000-01-01,16:01:14,-70.19,-22.21,67.2,4.4,mb,us
2000-01-02,02:13:29,-69.28,-17.35,161.6,3.7,mb,us
2000-01-03,04:03:15,-68.42,-21.11,134.4,4.0,mb,us
2000-01-05,17:55:11,-58.44,-56.1,10.0,5.6,mwc,hrv
2000-01-06,21:37:50,-69.45,-18.33,143.2,4.6,mb,us
2000-01-07,01:08:19,-67.35,-28.21,144.4,4.8,mb,us
2000-01-07,11:49:12,-69.2,-28.5,120.1,4.0,mb,us
2000-01-07,23:37:20,-55.13,-54.33,10.0,5.5,mwc,hrv
2000-01-08,11:43:58,-71.34,-31.02,72.5,4.4,mb,us
2000-01-08,11:59:22,-70.12,-23.17,36.0,6.4,mwb,us
